Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,   0.631934,   161.55,   0.518203,    34.54,   0.523122,   -70.74,          0,     0.00, 5.08423E-013,   116.57,   0.631934,   -18.45,   0.518203,  -145.46,   0.523122,   109.26,          0,     0.00, 5.08423E-013,   -63.43
Line.LINE1,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE2,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE3,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE4,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE5,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE6,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE7,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE8,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE9,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE10,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE11,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE12,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE13,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE14,    16.8275,   -48.18,    16.5815,  -168.24,    10.6077,    71.79,          0,     0.00,    6.08606,  -106.19,    16.8275,   131.82,    16.5815,    11.76,    10.6077,  -108.21,          0,     0.00,    6.08606,    73.81
Line.LINE15, 1.16415E-010,     0.00, 5.82077E-011,    90.00, 3.63798E-012,     0.00,          0,     0.00, 1.3342E-010,    25.87, 1.16415E-010,   180.00, 5.82077E-011,   -90.00, 3.63798E-012,   180.00,          0,     0.00, 1.3342E-010,  -154.13
